ClientID,Timestamp,Operation,Latency_us,Success
client1-1746475915978160063,2025-05-05T16:11:55.991498762-04:00,read,832,true
client0-1746475915978153841,2025-05-05T16:11:55.998261973-04:00,write,7584,true
client0-1746475915978153841,2025-05-05T16:11:55.998797242-04:00,read,523,true
client2-1746475915978161806,2025-05-05T16:11:56.004027454-04:00,write,13379,true
client3-1746475915978163529,2025-05-05T16:11:56.004093388-04:00,write,13411,true
client4-1746475915978164982,2025-05-05T16:11:56.004125258-04:00,write,13469,true
client4-1746475915978164982,2025-05-05T16:11:56.004769663-04:00,read,638,true
client1-1746475915978160063,2025-05-05T16:11:56.00650256-04:00,write,10864,true
client1-1746475915978160063,2025-05-05T16:11:56.007004547-04:00,read,497,true
client1-1746475915978160063,2025-05-05T16:11:56.010653356-04:00,read,500,true
client2-1746475915978161806,2025-05-05T16:11:56.013542213-04:00,write,9504,true
client0-1746475915978153841,2025-05-05T16:11:56.013596646-04:00,write,12664,true
client3-1746475915978163529,2025-05-05T16:11:56.016402826-04:00,write,12302,true
client3-1746475915978163529,2025-05-05T16:11:56.016929439-04:00,read,520,true
client4-1746475915978164982,2025-05-05T16:11:56.019234165-04:00,write,13375,true
client4-1746475915978164982,2025-05-05T16:11:56.019731903-04:00,read,491,true
client2-1746475915978161806,2025-05-05T16:11:56.021826562-04:00,write,8280,true
client0-1746475915978153841,2025-05-05T16:11:56.023499026-04:00,write,9893,true
client1-1746475915978160063,2025-05-05T16:11:56.025005406-04:00,write,9010,true
client3-1746475915978163529,2025-05-05T16:11:56.027931252-04:00,write,8320,true
client4-1746475915978164982,2025-05-05T16:11:56.030775545-04:00,write,9838,true
client4-1746475915978164982,2025-05-05T16:11:56.031248597-04:00,read,468,true
client2-1746475915978161806,2025-05-05T16:11:56.032660128-04:00,write,10827,true
client1-1746475915978160063,2025-05-05T16:11:56.034955155-04:00,write,9944,true
client0-1746475915978153841,2025-05-05T16:11:56.03501049-04:00,write,11504,true
client4-1746475915978164982,2025-05-05T16:11:56.03561527-04:00,read,647,true
client1-1746475915978160063,2025-05-05T16:11:56.035627964-04:00,read,668,true
client2-1746475915978161806,2025-05-05T16:11:56.038644011-04:00,write,5980,true
client3-1746475915978163529,2025-05-05T16:11:56.038657306-04:00,write,10722,true
client3-1746475915978163529,2025-05-05T16:11:56.039349551-04:00,read,683,true
client0-1746475915978153841,2025-05-05T16:11:56.040784526-04:00,write,5770,true
client3-1746475915978163529,2025-05-05T16:11:56.041158211-04:00,read,725,true
client0-1746475915978153841,2025-05-05T16:11:56.0413913-04:00,read,599,true
client1-1746475915978160063,2025-05-05T16:11:56.043558587-04:00,write,7924,true
client1-1746475915978160063,2025-05-05T16:11:56.044071083-04:00,read,508,true
client2-1746475915978161806,2025-05-05T16:11:56.045460452-04:00,write,6812,true
