ClientID,Timestamp,Operation,Latency_us,Success
client3-1746475393895904860,2025-05-05T16:03:13.924784902-04:00,read,719,true
client0-1746475393895896154,2025-05-05T16:03:13.9248053-04:00,read,725,true
client4-1746475393895905792,2025-05-05T16:03:13.924850074-04:00,read,783,true
client2-1746475393895903558,2025-05-05T16:03:13.924866205-04:00,read,817,true
client1-1746475393895902015,2025-05-05T16:03:13.924877256-04:00,read,819,true
client3-1746475393895904860,2025-05-05T16:03:13.944618907-04:00,read,610,true
client1-1746475393895902015,2025-05-05T16:03:13.944635288-04:00,read,610,true
client2-1746475393895903558,2025-05-05T16:03:13.944649825-04:00,read,653,true
client0-1746475393895896154,2025-05-05T16:03:13.944698036-04:00,read,685,true
client4-1746475393895905792,2025-05-05T16:03:13.944719557-04:00,read,713,true
client3-1746475393895904860,2025-05-05T16:03:13.964525279-04:00,read,675,true
client1-1746475393895902015,2025-05-05T16:03:13.964531451-04:00,read,668,true
client4-1746475393895905792,2025-05-05T16:03:13.964550587-04:00,read,659,true
client0-1746475393895896154,2025-05-05T16:03:13.964567669-04:00,read,694,true
client2-1746475393895903558,2025-05-05T16:03:13.964646788-04:00,read,577,true
client3-1746475393895904860,2025-05-05T16:03:13.984492265-04:00,read,699,true
client0-1746475393895896154,2025-05-05T16:03:13.984506262-04:00,read,701,true
client2-1746475393895903558,2025-05-05T16:03:13.984559672-04:00,read,560,true
client1-1746475393895902015,2025-05-05T16:03:13.984624525-04:00,read,621,true
client4-1746475393895905792,2025-05-05T16:03:13.984635656-04:00,read,622,true
client3-1746475393895904860,2025-05-05T16:03:14.004440787-04:00,read,679,true
client0-1746475393895896154,2025-05-05T16:03:14.004477887-04:00,read,705,true
client1-1746475393895902015,2025-05-05T16:03:14.004590579-04:00,read,619,true
client4-1746475393895905792,2025-05-05T16:03:14.004603524-04:00,read,616,true
client2-1746475393895903558,2025-05-05T16:03:14.004604315-04:00,read,626,true
client0-1746475393895896154,2025-05-05T16:03:14.024403675-04:00,read,671,true
client3-1746475393895904860,2025-05-05T16:03:14.024498374-04:00,read,561,true
client1-1746475393895902015,2025-05-05T16:03:14.024553067-04:00,read,621,true
client2-1746475393895903558,2025-05-05T16:03:14.024574908-04:00,read,628,true
client4-1746475393895905792,2025-05-05T16:03:14.024578355-04:00,read,629,true
client0-1746475393895896154,2025-05-05T16:03:14.044413763-04:00,read,684,true
client3-1746475393895904860,2025-05-05T16:03:14.044561381-04:00,read,602,true
client1-1746475393895902015,2025-05-05T16:03:14.044578494-04:00,read,633,true
