ClientID,Timestamp,Operation,Latency_us,Success
client2-1746557093787965447,2025-05-06T14:44:53.803642455-04:00,write,6942,true
client3-1746557093787966649,2025-05-06T14:44:53.806362043-04:00,write,9641,true
client0-1746557093787957482,2025-05-06T14:44:53.806449408-04:00,write,9715,true
client1-1746557093787963924,2025-05-06T14:44:53.806467743-04:00,write,9752,true
client2-1746557093787965447,2025-05-06T14:44:53.808680044-04:00,write,5012,true
client3-1746557093787966649,2025-05-06T14:44:53.81095851-04:00,write,4585,true
client0-1746557093787957482,2025-05-06T14:44:53.813778367-04:00,write,7321,true
client1-1746557093787963924,2025-05-06T14:44:53.81383301-04:00,write,7361,true
client2-1746557093787965447,2025-05-06T14:44:53.81388108-04:00,write,5193,true
client0-1746557093787957482,2025-05-06T14:44:53.817260582-04:00,write,3475,true
client3-1746557093787966649,2025-05-06T14:44:53.817355321-04:00,write,6376,true
client0-1746557093787957482,2025-05-06T14:44:53.820832457-04:00,write,3567,true
client2-1746557093787965447,2025-05-06T14:44:53.820934058-04:00,write,7047,true
client1-1746557093787963924,2025-05-06T14:44:53.820949498-04:00,write,7109,true
client3-1746557093787966649,2025-05-06T14:44:53.823207986-04:00,write,5846,true
client0-1746557093787957482,2025-05-06T14:44:53.826622514-04:00,write,5783,true
client2-1746557093787965447,2025-05-06T14:44:53.826933751-04:00,write,5992,true
client1-1746557093787963924,2025-05-06T14:44:53.826944691-04:00,write,5989,true
client3-1746557093787966649,2025-05-06T14:44:53.829044981-04:00,write,5830,true
client0-1746557093787957482,2025-05-06T14:44:53.8319292-04:00,write,5300,true
client1-1746557093787963924,2025-05-06T14:44:53.83225835-04:00,write,5307,true
client2-1746557093787965447,2025-05-06T14:44:53.832275643-04:00,write,5337,true
client3-1746557093787966649,2025-05-06T14:44:53.835365238-04:00,write,6315,true
client0-1746557093787957482,2025-05-06T14:44:53.835965771-04:00,write,4030,true
client1-1746557093787963924,2025-05-06T14:44:53.837698087-04:00,write,5420,true
client2-1746557093787965447,2025-05-06T14:44:53.837712264-04:00,write,5430,true
client3-1746557093787966649,2025-05-06T14:44:53.840617972-04:00,write,5245,true
client0-1746557093787957482,2025-05-06T14:44:53.841227491-04:00,write,5257,true
client1-1746557093787963924,2025-05-06T14:44:53.844453835-04:00,write,6749,true
client2-1746557093787965447,2025-05-06T14:44:53.844491636-04:00,write,6773,true
client3-1746557093787966649,2025-05-06T14:44:53.846894296-04:00,write,6270,true
client1-1746557093787963924,2025-05-06T14:44:53.849742857-04:00,write,5283,true
client0-1746557093787957482,2025-05-06T14:44:53.849804323-04:00,write,8570,true
client2-1746557093787965447,2025-05-06T14:44:53.850070254-04:00,write,5572,true
client3-1746557093787966649,2025-05-06T14:44:53.852150066-04:00,write,5251,true
client1-1746557093787963924,2025-05-06T14:44:53.855433256-04:00,write,5685,true
client2-1746557093787965447,2025-05-06T14:44:53.855802853-04:00,write,5727,true
client0-1746557093787957482,2025-05-06T14:44:53.855813894-04:00,write,6003,true
client3-1746557093787966649,2025-05-06T14:44:53.859348358-04:00,write,7194,true
client2-1746557093787965447,2025-05-06T14:44:53.861800141-04:00,write,5991,true
client0-1746557093787957482,2025-05-06T14:44:53.861875643-04:00,write,6056,true
client1-1746557093787963924,2025-05-06T14:44:53.861888718-04:00,write,6451,true
client3-1746557093787966649,2025-05-06T14:44:53.865818718-04:00,write,6466,true
client2-1746557093787965447,2025-05-06T14:44:53.865921772-04:00,write,4112,true
client3-1746557093787966649,2025-05-06T14:44:53.869896396-04:00,write,4071,true
client1-1746557093787963924,2025-05-06T14:44:53.869957832-04:00,write,8063,true
client0-1746557093787957482,2025-05-06T14:44:53.869971818-04:00,write,8090,true
client2-1746557093787965447,2025-05-06T14:44:53.873514137-04:00,write,7585,true
client4-1746557093787967641,2025-05-06T14:44:53.873806729-04:00,write,76690,true
client1-1746557093787963924,2025-05-06T14:44:53.875994494-04:00,write,6030,true
client3-1746557093787966649,2025-05-06T14:44:53.876005635-04:00,write,6103,true
client2-1746557093787965447,2025-05-06T14:44:53.878819941-04:00,write,5300,true
client4-1746557093787967641,2025-05-06T14:44:53.879452454-04:00,write,5639,true
client3-1746557093787966649,2025-05-06T14:44:53.88109439-04:00,write,5077,true
client1-1746557093787963924,2025-05-06T14:44:53.881104499-04:00,write,5104,true
client2-1746557093787965447,2025-05-06T14:44:53.883822524-04:00,write,4996,true
client4-1746557093787967641,2025-05-06T14:44:53.88422895-04:00,write,4769,true
client3-1746557093787966649,2025-05-06T14:44:53.887253603-04:00,write,6152,true
client1-1746557093787963924,2025-05-06T14:44:53.887293117-04:00,write,6183,true
client2-1746557093787965447,2025-05-06T14:44:53.887696568-04:00,write,3868,true
client4-1746557093787967641,2025-05-06T14:44:53.889541206-04:00,write,5308,true
client1-1746557093787963924,2025-05-06T14:44:53.892476931-04:00,write,5177,true
client2-1746557093787965447,2025-05-06T14:44:53.892876996-04:00,write,5175,true
client3-1746557093787966649,2025-05-06T14:44:53.892888207-04:00,write,5630,true
client4-1746557093787967641,2025-05-06T14:44:53.895911828-04:00,write,6366,true
client1-1746557093787963924,2025-05-06T14:44:53.896019341-04:00,write,3535,true
client2-1746557093787965447,2025-05-06T14:44:53.899103385-04:00,write,6222,true
client3-1746557093787966649,2025-05-06T14:44:53.899130246-04:00,write,6235,true
client4-1746557093787967641,2025-05-06T14:44:53.899311908-04:00,write,3394,true
client2-1746557093787965447,2025-05-06T14:44:53.902736826-04:00,write,3628,true
