ClientID,Timestamp,Operation,Latency_us,Success
client0-1746469623832680284,2025-05-05T14:27:03.84102843-04:00,read,559,true
client3-1746469623832684362,2025-05-05T14:27:03.841134149-04:00,read,673,true
client1-1746469623832682218,2025-05-05T14:27:03.841225802-04:00,read,625,true
client4-1746469623832685113,2025-05-05T14:27:03.841235771-04:00,read,761,true
client2-1746469623832683300,2025-05-05T14:27:03.8412459-04:00,read,765,true
client0-1746469623832680284,2025-05-05T14:27:03.846818323-04:00,read,470,true
client2-1746469623832683300,2025-05-05T14:27:03.847053185-04:00,read,588,true
client4-1746469623832685113,2025-05-05T14:27:03.847059708-04:00,read,585,true
client3-1746469623832684362,2025-05-05T14:27:03.847177499-04:00,read,484,true
client1-1746469623832682218,2025-05-05T14:27:03.847388005-04:00,read,515,true
client0-1746469623832680284,2025-05-05T14:27:03.85290757-04:00,read,453,true
client2-1746469623832683300,2025-05-05T14:27:03.85329551-04:00,read,612,true
client4-1746469623832685113,2025-05-05T14:27:03.853302362-04:00,read,608,true
client3-1746469623832684362,2025-05-05T14:27:03.853546592-04:00,read,590,true
client1-1746469623832682218,2025-05-05T14:27:03.853645738-04:00,read,539,true
client0-1746469623832680284,2025-05-05T14:27:03.859152178-04:00,read,441,true
client2-1746469623832683300,2025-05-05T14:27:03.859526222-04:00,read,594,true
client4-1746469623832685113,2025-05-05T14:27:03.859532584-04:00,read,591,true
client3-1746469623832684362,2025-05-05T14:27:03.859772105-04:00,read,575,true
client1-1746469623832682218,2025-05-05T14:27:03.859888874-04:00,read,545,true
client0-1746469623832680284,2025-05-05T14:27:03.865399863-04:00,read,446,true
client4-1746469623832685113,2025-05-05T14:27:03.865774337-04:00,read,586,true
client2-1746469623832683300,2025-05-05T14:27:03.86578095-04:00,read,601,true
client3-1746469623832684362,2025-05-05T14:27:03.866017795-04:00,read,573,true
client1-1746469623832682218,2025-05-05T14:27:03.866132371-04:00,read,541,true
client0-1746469623832680284,2025-05-05T14:27:03.871660301-04:00,read,458,true
client4-1746469623832685113,2025-05-05T14:27:03.872034224-04:00,read,592,true
client2-1746469623832683300,2025-05-05T14:27:03.872057679-04:00,read,625,true
client3-1746469623832684362,2025-05-05T14:27:03.872309532-04:00,read,601,true
client1-1746469623832682218,2025-05-05T14:27:03.872411524-04:00,read,548,true
client0-1746469623832680284,2025-05-05T14:27:03.877993666-04:00,read,469,true
client4-1746469623832685113,2025-05-05T14:27:03.878147716-04:00,read,508,true
client2-1746469623832683300,2025-05-05T14:27:03.878264286-04:00,read,511,true
client3-1746469623832684362,2025-05-05T14:27:03.878508595-04:00,read,519,true
