ClientID,Timestamp,Operation,Latency_us,Success
client2-1746468648101357436,2025-05-05T14:10:48.162124141-04:00,write,9655,true
client0-1746468648101354600,2025-05-05T14:10:48.162230621-04:00,write,9608,true
client4-1746468648101359239,2025-05-05T14:10:48.162277329-04:00,write,9669,true
client1-1746468648101356414,2025-05-05T14:10:48.165344239-04:00,write,11427,true
client3-1746468648101358508,2025-05-05T14:10:48.165366702-04:00,write,12622,true
client2-1746468648101357436,2025-05-05T14:10:48.211111613-04:00,write,8621,true
client0-1746468648101354600,2025-05-05T14:10:48.21286385-04:00,write,10217,true
client4-1746468648101359239,2025-05-05T14:10:48.212963758-04:00,write,10335,true
client3-1746468648101358508,2025-05-05T14:10:48.213364381-04:00,write,10606,true
client1-1746468648101356414,2025-05-05T14:10:48.215058319-04:00,write,11072,true
client2-1746468648101357436,2025-05-05T14:10:48.262333519-04:00,write,9040,true
client4-1746468648101359239,2025-05-05T14:10:48.263739013-04:00,write,10435,true
client3-1746468648101358508,2025-05-05T14:10:48.264478976-04:00,write,11169,true
client0-1746468648101354600,2025-05-05T14:10:48.264501598-04:00,write,11203,true
client1-1746468648101356414,2025-05-05T14:10:48.264507429-04:00,write,11221,true
client2-1746468648101357436,2025-05-05T14:10:48.324002632-04:00,write,21237,true
client3-1746468648101358508,2025-05-05T14:10:48.324142215-04:00,write,21385,true
client0-1746468648101354600,2025-05-05T14:10:48.324167572-04:00,write,21396,true
client4-1746468648101359239,2025-05-05T14:10:48.324172872-04:00,write,21396,true
client1-1746468648101356414,2025-05-05T14:10:48.325876217-04:00,write,21760,true
client3-1746468648101358508,2025-05-05T14:10:48.372755262-04:00,write,19682,true
client2-1746468648101357436,2025-05-05T14:10:48.372776823-04:00,write,19697,true
client0-1746468648101354600,2025-05-05T14:10:48.372810696-04:00,write,19725,true
client4-1746468648101359239,2025-05-05T14:10:48.373100702-04:00,write,20010,true
client1-1746468648101356414,2025-05-05T14:10:48.380238222-04:00,write,27021,true
client2-1746468648101357436,2025-05-05T14:10:48.437306218-04:00,write,33933,true
client3-1746468648101358508,2025-05-05T14:10:48.439610543-04:00,write,36222,true
client0-1746468648101354600,2025-05-05T14:10:48.439664735-04:00,write,36286,true
client1-1746468648101356414,2025-05-05T14:10:48.439671318-04:00,write,36306,true
client4-1746468648101359239,2025-05-05T14:10:48.439676578-04:00,write,36293,true
client3-1746468648101358508,2025-05-05T14:10:48.459974739-04:00,write,7197,true
client2-1746468648101357436,2025-05-05T14:10:48.460058737-04:00,write,7274,true
client4-1746468648101359239,2025-05-05T14:10:48.460092641-04:00,write,7295,true
client0-1746468648101354600,2025-05-05T14:10:48.460097891-04:00,write,7307,true
client1-1746468648101356414,2025-05-05T14:10:48.461618101-04:00,write,7488,true
client3-1746468648101358508,2025-05-05T14:10:48.51216628-04:00,write,9317,true
client4-1746468648101359239,2025-05-05T14:10:48.512543169-04:00,write,9676,true
client0-1746468648101354600,2025-05-05T14:10:48.512718168-04:00,write,9856,true
client2-1746468648101357436,2025-05-05T14:10:48.512725182-04:00,write,9869,true
client1-1746468648101356414,2025-05-05T14:10:48.515311027-04:00,write,11111,true
client2-1746468648101357436,2025-05-05T14:10:48.557987685-04:00,write,5502,true
client3-1746468648101358508,2025-05-05T14:10:48.560835974-04:00,write,8108,true
client0-1746468648101354600,2025-05-05T14:10:48.560877272-04:00,write,8259,true
client1-1746468648101356414,2025-05-05T14:10:48.560883894-04:00,write,6755,true
client4-1746468648101359239,2025-05-05T14:10:48.560889124-04:00,write,8281,true
client3-1746468648101358508,2025-05-05T14:10:48.617336622-04:00,write,14194,true
client4-1746468648101359239,2025-05-05T14:10:48.618095991-04:00,write,14934,true
client2-1746468648101357436,2025-05-05T14:10:48.618109086-04:00,write,14958,true
client0-1746468648101354600,2025-05-05T14:10:48.618118554-04:00,write,14962,true
client1-1746468648101356414,2025-05-05T14:10:48.620034298-04:00,write,16769,true
client2-1746468648101357436,2025-05-05T14:10:48.664597035-04:00,write,11370,true
client1-1746468648101356414,2025-05-05T14:10:48.666431266-04:00,write,13212,true
client0-1746468648101354600,2025-05-05T14:10:48.666494505-04:00,write,13262,true
client4-1746468648101359239,2025-05-05T14:10:48.666500737-04:00,write,13263,true
client3-1746468648101358508,2025-05-05T14:10:48.666507189-04:00,write,13264,true
client3-1746468648101358508,2025-05-05T14:10:48.717393794-04:00,write,14675,true
client0-1746468648101354600,2025-05-05T14:10:48.717541823-04:00,write,14801,true
client2-1746468648101357436,2025-05-05T14:10:48.717631772-04:00,write,14897,true
client4-1746468648101359239,2025-05-05T14:10:48.717644827-04:00,write,14899,true
client1-1746468648101356414,2025-05-05T14:10:48.719570149-04:00,write,15529,true
client3-1746468648101358508,2025-05-05T14:10:48.766110667-04:00,write,13330,true
client2-1746468648101357436,2025-05-05T14:10:48.766252334-04:00,write,13464,true
client4-1746468648101359239,2025-05-05T14:10:48.766277651-04:00,write,13470,true
client0-1746468648101354600,2025-05-05T14:10:48.766283623-04:00,write,13489,true
client1-1746468648101356414,2025-05-05T14:10:48.768172176-04:00,write,14037,true
client2-1746468648101357436,2025-05-05T14:10:48.815113658-04:00,write,11693,true
client0-1746468648101354600,2025-05-05T14:10:48.816832893-04:00,write,13407,true
client3-1746468648101358508,2025-05-05T14:10:48.817139961-04:00,write,13704,true
client1-1746468648101356414,2025-05-05T14:10:48.817173785-04:00,write,13761,true
client4-1746468648101359239,2025-05-05T14:10:48.817180247-04:00,write,13749,true
client4-1746468648101359239,2025-05-05T14:10:48.864155964-04:00,write,10715,true
client3-1746468648101358508,2025-05-05T14:10:48.864170982-04:00,write,10725,true
client2-1746468648101357436,2025-05-05T14:10:48.864182524-04:00,write,10753,true
client0-1746468648101354600,2025-05-05T14:10:48.866361103-04:00,write,12926,true
client1-1746468648101356414,2025-05-05T14:10:48.866367655-04:00,write,12946,true
client2-1746468648101357436,2025-05-05T14:10:48.915545856-04:00,write,13057,true
client3-1746468648101358508,2025-05-05T14:10:48.915638791-04:00,write,12912,true
client4-1746468648101359239,2025-05-05T14:10:48.918254653-04:00,write,15645,true
client0-1746468648101354600,2025-05-05T14:10:48.918262217-04:00,write,15642,true
client1-1746468648101356414,2025-05-05T14:10:48.918267376-04:00,write,14367,true
client2-1746468648101357436,2025-05-05T14:10:48.966111648-04:00,write,13661,true
client3-1746468648101358508,2025-05-05T14:10:48.966285655-04:00,write,13583,true
client1-1746468648101356414,2025-05-05T14:10:48.966322574-04:00,write,12542,true
client0-1746468648101354600,2025-05-05T14:10:48.966332012-04:00,write,13751,true
client4-1746468648101359239,2025-05-05T14:10:48.968332406-04:00,write,15636,true
client2-1746468648101357436,2025-05-05T14:10:49.014698346-04:00,write,12212,true
client3-1746468648101358508,2025-05-05T14:10:49.014798885-04:00,write,12062,true
client1-1746468648101356414,2025-05-05T14:10:49.016581879-04:00,write,12662,true
client4-1746468648101359239,2025-05-05T14:10:49.016748032-04:00,write,14131,true
client0-1746468648101354600,2025-05-05T14:10:49.016754524-04:00,write,14125,true
client0-1746468648101354600,2025-05-05T14:10:49.073277635-04:00,write,20268,true
client3-1746468648101358508,2025-05-05T14:10:49.073292443-04:00,write,20296,true
client4-1746468648101359239,2025-05-05T14:10:49.073299997-04:00,write,20285,true
client2-1746468648101357436,2025-05-05T14:10:49.073313973-04:00,write,20310,true
client1-1746468648101356414,2025-05-05T14:10:49.075275674-04:00,write,22050,true
client2-1746468648101357436,2025-05-05T14:10:49.116195477-04:00,write,12756,true
client3-1746468648101358508,2025-05-05T14:10:49.118701482-04:00,write,15245,true
client4-1746468648101359239,2025-05-05T14:10:49.11874325-04:00,write,15292,true
client1-1746468648101356414,2025-05-05T14:10:49.118750274-04:00,write,15318,true
client0-1746468648101354600,2025-05-05T14:10:49.118756155-04:00,write,15311,true
client3-1746468648101358508,2025-05-05T14:10:49.164398984-04:00,write,11411,true
client4-1746468648101359239,2025-05-05T14:10:49.164506917-04:00,write,11500,true
client2-1746468648101357436,2025-05-05T14:10:49.164597617-04:00,write,11602,true
client0-1746468648101354600,2025-05-05T14:10:49.16460951-04:00,write,11608,true
client1-1746468648101356414,2025-05-05T14:10:49.166694693-04:00,write,13472,true
client3-1746468648101358508,2025-05-05T14:10:49.208603136-04:00,write,5680,true
client2-1746468648101357436,2025-05-05T14:10:49.210511065-04:00,write,7581,true
client1-1746468648101356414,2025-05-05T14:10:49.210553966-04:00,write,7345,true
client0-1746468648101354600,2025-05-05T14:10:49.210560749-04:00,write,7625,true
client4-1746468648101359239,2025-05-05T14:10:49.210566039-04:00,write,7625,true
client3-1746468648101358508,2025-05-05T14:10:49.270998525-04:00,write,18159,true
client0-1746468648101354600,2025-05-05T14:10:49.271123801-04:00,write,18271,true
client2-1746468648101357436,2025-05-05T14:10:49.271137236-04:00,write,18290,true
client4-1746468648101359239,2025-05-05T14:10:49.27114452-04:00,write,18286,true
client1-1746468648101356414,2025-05-05T14:10:49.273165172-04:00,write,18971,true
client3-1746468648101358508,2025-05-05T14:10:49.329842984-04:00,write,26459,true
client4-1746468648101359239,2025-05-05T14:10:49.329857351-04:00,write,26479,true
client2-1746468648101357436,2025-05-05T14:10:49.329868181-04:00,write,26500,true
client1-1746468648101356414,2025-05-05T14:10:49.33192472-04:00,write,28564,true
client0-1746468648101354600,2025-05-05T14:10:49.331930702-04:00,write,28557,true
client3-1746468648101358508,2025-05-05T14:10:49.371922067-04:00,write,18854,true
client4-1746468648101359239,2025-05-05T14:10:49.372057963-04:00,write,18972,true
client2-1746468648101357436,2025-05-05T14:10:49.372086767-04:00,write,19011,true
client0-1746468648101354600,2025-05-05T14:10:49.372099281-04:00,write,19019,true
client1-1746468648101356414,2025-05-05T14:10:49.374689604-04:00,write,21479,true
client2-1746468648101357436,2025-05-05T14:10:49.419718037-04:00,write,16860,true
client3-1746468648101358508,2025-05-05T14:10:49.42507121-04:00,write,22221,true
client4-1746468648101359239,2025-05-05T14:10:49.42511379-04:00,write,22245,true
client0-1746468648101354600,2025-05-05T14:10:49.425120432-04:00,write,22257,true
client1-1746468648101356414,2025-05-05T14:10:49.425125542-04:00,write,21920,true
client2-1746468648101357436,2025-05-05T14:10:49.459948252-04:00,write,6620,true
client3-1746468648101358508,2025-05-05T14:10:49.462552081-04:00,write,9208,true
client4-1746468648101359239,2025-05-05T14:10:49.462598098-04:00,write,9259,true
client0-1746468648101354600,2025-05-05T14:10:49.462604881-04:00,write,9271,true
client1-1746468648101356414,2025-05-05T14:10:49.462610101-04:00,write,9290,true
client3-1746468648101358508,2025-05-05T14:10:49.514084031-04:00,write,11233,true
client2-1746468648101357436,2025-05-05T14:10:49.514266845-04:00,write,11408,true
client4-1746468648101359239,2025-05-05T14:10:49.514297813-04:00,write,11428,true
client0-1746468648101354600,2025-05-05T14:10:49.514303103-04:00,write,11438,true
client1-1746468648101356414,2025-05-05T14:10:49.516595296-04:00,write,12391,true
client3-1746468648101358508,2025-05-05T14:10:49.571779538-04:00,write,18939,true
client2-1746468648101357436,2025-05-05T14:10:49.571941031-04:00,write,19093,true
client0-1746468648101354600,2025-05-05T14:10:49.571963644-04:00,write,19110,true
client4-1746468648101359239,2025-05-05T14:10:49.571969024-04:00,write,19110,true
client1-1746468648101356414,2025-05-05T14:10:49.574519743-04:00,write,20327,true
client3-1746468648101358508,2025-05-05T14:10:49.613424685-04:00,write,10718,true
client2-1746468648101357436,2025-05-05T14:10:49.613622266-04:00,write,10909,true
client4-1746468648101359239,2025-05-05T14:10:49.613688381-04:00,write,10964,true
client0-1746468648101354600,2025-05-05T14:10:49.613694512-04:00,write,10976,true
client1-1746468648101356414,2025-05-05T14:10:49.617926184-04:00,write,13868,true
client2-1746468648101357436,2025-05-05T14:10:49.65885322-04:00,write,5705,true
client3-1746468648101358508,2025-05-05T14:10:49.661135304-04:00,write,7994,true
client1-1746468648101356414,2025-05-05T14:10:49.661170511-04:00,write,7908,true
client4-1746468648101359239,2025-05-05T14:10:49.661177383-04:00,write,8018,true
client0-1746468648101354600,2025-05-05T14:10:49.661182583-04:00,write,8029,true
