ClientID,Timestamp,Operation,Latency_us,Success
client2-1746554320211107968,2025-05-06T13:58:40.229885882-04:00,read,676,false
client3-1746554320211116414,2025-05-06T13:58:40.230100547-04:00,read,691,false
client0-1746554320211099953,2025-05-06T13:58:40.23994077-04:00,write,10976,true
client2-1746554320211107968,2025-05-06T13:58:40.23995673-04:00,read,555,false
client1-1746554320211106125,2025-05-06T13:58:40.242020932-04:00,write,13071,true
client0-1746554320211099953,2025-05-06T13:58:40.244282266-04:00,write,4324,true
client1-1746554320211106125,2025-05-06T13:58:40.245477359-04:00,write,3427,true
client0-1746554320211099953,2025-05-06T13:58:40.250459122-04:00,read,846,true
client1-1746554320211106125,2025-05-06T13:58:40.253249853-04:00,write,3625,true
client4-1746554320211117717,2025-05-06T13:58:40.25466937-04:00,write,24785,true
client4-1746554320211117717,2025-05-06T13:58:40.258138631-04:00,write,3463,true
client0-1746554320211099953,2025-05-06T13:58:40.259951639-04:00,read,729,true
client1-1746554320211106125,2025-05-06T13:58:40.262391419-04:00,write,3177,true
client4-1746554320211117717,2025-05-06T13:58:40.263476905-04:00,write,3652,true
client1-1746554320211106125,2025-05-06T13:58:40.270335467-04:00,read,716,true
client0-1746554320211099953,2025-05-06T13:58:40.270359773-04:00,read,731,true
client0-1746554320211099953,2025-05-06T13:58:40.282740465-04:00,write,3096,true
client1-1746554320211106125,2025-05-06T13:58:40.28394679-04:00,write,4288,true
client0-1746554320211099953,2025-05-06T13:58:40.289739291-04:00,read,650,true
client1-1746554320211106125,2025-05-06T13:58:40.289752145-04:00,read,672,true
client4-1746554320211117717,2025-05-06T13:58:40.294779173-04:00,write,24960,true
client4-1746554320211117717,2025-05-06T13:58:40.298140581-04:00,write,3354,true
client0-1746554320211099953,2025-05-06T13:58:40.302744371-04:00,write,3519,true
client1-1746554320211106125,2025-05-06T13:58:40.303789201-04:00,write,4555,true
client0-1746554320211099953,2025-05-06T13:58:40.312954682-04:00,write,4060,true
client1-1746554320211106125,2025-05-06T13:58:40.314854213-04:00,write,5768,true
client0-1746554320211099953,2025-05-06T13:58:40.31963155-04:00,read,632,true
client1-1746554320211106125,2025-05-06T13:58:40.323613448-04:00,write,4603,true
client4-1746554320211117717,2025-05-06T13:58:40.324952933-04:00,write,24319,true
client4-1746554320211117717,2025-05-06T13:58:40.325605373-04:00,read,645,true
client4-1746554320211117717,2025-05-06T13:58:40.333327393-04:00,write,3568,true
client1-1746554320211106125,2025-05-06T13:58:40.334537735-04:00,write,4775,true
client4-1746554320211117717,2025-05-06T13:58:40.340638066-04:00,read,773,true
client0-1746554320211099953,2025-05-06T13:58:40.340798789-04:00,read,11048,true
client1-1746554320211106125,2025-05-06T13:58:40.343648893-04:00,write,3973,true
client0-1746554320211099953,2025-05-06T13:58:40.344737285-04:00,write,3934,true
client4-1746554320211117717,2025-05-06T13:58:40.35063281-04:00,read,745,true
client0-1746554320211099953,2025-05-06T13:58:40.350647248-04:00,read,744,true
client1-1746554320211106125,2025-05-06T13:58:40.350649402-04:00,read,752,true
client0-1746554320211099953,2025-05-06T13:58:40.359761291-04:00,read,641,true
client1-1746554320211106125,2025-05-06T13:58:40.362885792-04:00,write,3786,true
client4-1746554320211117717,2025-05-06T13:58:40.36390831-04:00,write,4135,true
client1-1746554320211106125,2025-05-06T13:58:40.370190184-04:00,read,823,true
client0-1746554320211099953,2025-05-06T13:58:40.372719473-04:00,write,3338,true
client0-1746554320211099953,2025-05-06T13:58:40.379897436-04:00,read,670,true
client1-1746554320211106125,2025-05-06T13:58:40.37990973-04:00,read,696,true
client4-1746554320211117717,2025-05-06T13:58:40.381442219-04:00,read,11703,true
client4-1746554320211117717,2025-05-06T13:58:40.385764869-04:00,write,4318,true
client0-1746554320211099953,2025-05-06T13:58:40.389799616-04:00,read,642,true
client1-1746554320211106125,2025-05-06T13:58:40.393758761-04:00,write,4593,true
client4-1746554320211117717,2025-05-06T13:58:40.395123965-04:00,write,5318,true
client0-1746554320211099953,2025-05-06T13:58:40.400293181-04:00,read,694,true
client1-1746554320211106125,2025-05-06T13:58:40.40030354-04:00,read,719,true
client0-1746554320211099953,2025-05-06T13:58:40.413556327-04:00,write,3831,true
client1-1746554320211106125,2025-05-06T13:58:40.415065353-04:00,write,5326,true
client1-1746554320211106125,2025-05-06T13:58:40.423018447-04:00,write,3818,true
client0-1746554320211099953,2025-05-06T13:58:40.424291628-04:00,write,5076,true
client0-1746554320211099953,2025-05-06T13:58:40.433094505-04:00,write,3653,true
client1-1746554320211106125,2025-05-06T13:58:40.434626083-04:00,write,5160,true
client4-1746554320211117717,2025-05-06T13:58:40.436211311-04:00,write,36418,true
client4-1746554320211117717,2025-05-06T13:58:40.439479173-04:00,write,3261,true
client0-1746554320211099953,2025-05-06T13:58:40.440101115-04:00,read,802,true
client4-1746554320211117717,2025-05-06T13:58:40.440652795-04:00,read,707,true
client1-1746554320211106125,2025-05-06T13:58:40.443245043-04:00,write,3966,true
client1-1746554320211106125,2025-05-06T13:58:40.450096701-04:00,read,693,true
client0-1746554320211099953,2025-05-06T13:58:40.450126117-04:00,read,735,true
client4-1746554320211117717,2025-05-06T13:58:40.453533812-04:00,write,3782,true
client1-1746554320211106125,2025-05-06T13:58:40.460400408-04:00,read,709,true
client0-1746554320211099953,2025-05-06T13:58:40.464139818-04:00,write,4428,true
client0-1746554320211099953,2025-05-06T13:58:40.472865189-04:00,write,3562,true
client1-1746554320211106125,2025-05-06T13:58:40.474850432-04:00,write,5561,true
client1-1746554320211106125,2025-05-06T13:58:40.479667354-04:00,read,643,true
client0-1746554320211099953,2025-05-06T13:58:40.482183468-04:00,write,3142,true
client1-1746554320211106125,2025-05-06T13:58:40.493536122-04:00,write,4195,true
client0-1746554320211099953,2025-05-06T13:58:40.494870709-04:00,write,5516,true
client0-1746554320211099953,2025-05-06T13:58:40.503294972-04:00,write,4264,true
client1-1746554320211106125,2025-05-06T13:58:40.504484415-04:00,write,5440,true
client1-1746554320211106125,2025-05-06T13:58:40.510302304-04:00,read,676,true
client0-1746554320211099953,2025-05-06T13:58:40.5103165-04:00,read,675,true
client4-1746554320211117717,2025-05-06T13:58:40.513923571-04:00,read,54175,true
client4-1746554320211117717,2025-05-06T13:58:40.517712916-04:00,write,3784,true
client0-1746554320211099953,2025-05-06T13:58:40.520635837-04:00,read,765,true
client1-1746554320211106125,2025-05-06T13:58:40.520639393-04:00,read,756,true
client4-1746554320211117717,2025-05-06T13:58:40.520646076-04:00,read,765,true
client0-1746554320211099953,2025-05-06T13:58:40.533480855-04:00,write,4355,true
client1-1746554320211106125,2025-05-06T13:58:40.534892627-04:00,write,5752,true
client1-1746554320211106125,2025-05-06T13:58:40.539815739-04:00,read,774,true
client0-1746554320211099953,2025-05-06T13:58:40.54266468-04:00,write,3610,true
client0-1746554320211099953,2025-05-06T13:58:40.553605097-04:00,write,4484,true
client1-1746554320211106125,2025-05-06T13:58:40.55622156-04:00,write,7080,true
client0-1746554320211099953,2025-05-06T13:58:40.560005986-04:00,read,638,true
client4-1746554320211117717,2025-05-06T13:58:40.562624994-04:00,read,32071,true
client1-1746554320211106125,2025-05-06T13:58:40.563104267-04:00,write,3750,true
client4-1746554320211117717,2025-05-06T13:58:40.563219064-04:00,read,589,true
client0-1746554320211099953,2025-05-06T13:58:40.570363554-04:00,read,675,true
client1-1746554320211106125,2025-05-06T13:58:40.573753576-04:00,write,4050,true
client0-1746554320211099953,2025-05-06T13:58:40.579850791-04:00,read,657,true
client1-1746554320211106125,2025-05-06T13:58:40.579861181-04:00,read,655,true
client4-1746554320211117717,2025-05-06T13:58:40.584730412-04:00,write,14841,true
client4-1746554320211117717,2025-05-06T13:58:40.58842651-04:00,write,3691,true
client0-1746554320211099953,2025-05-06T13:58:40.590165359-04:00,read,653,true
client1-1746554320211106125,2025-05-06T13:58:40.597874514-04:00,write,8349,true
client4-1746554320211117717,2025-05-06T13:58:40.599586852-04:00,write,9732,true
client1-1746554320211106125,2025-05-06T13:58:40.603016729-04:00,write,4043,true
client4-1746554320211117717,2025-05-06T13:58:40.604920578-04:00,write,4260,true
client0-1746554320211099953,2025-05-06T13:58:40.609815497-04:00,read,10855,true
client1-1746554320211106125,2025-05-06T13:58:40.610014462-04:00,read,664,true
client0-1746554320211099953,2025-05-06T13:58:40.615245445-04:00,write,5421,true
client1-1746554320211106125,2025-05-06T13:58:40.620310655-04:00,read,654,true
client0-1746554320211099953,2025-05-06T13:58:40.6203131-04:00,read,664,true
client4-1746554320211117717,2025-05-06T13:58:40.623996695-04:00,write,14162,true
client4-1746554320211117717,2025-05-06T13:58:40.624605322-04:00,read,602,true
client1-1746554320211106125,2025-05-06T13:58:40.629587115-04:00,read,638,true
client0-1746554320211099953,2025-05-06T13:58:40.632865396-04:00,write,3930,true
client1-1746554320211106125,2025-05-06T13:58:40.639654767-04:00,read,702,true
client0-1746554320211099953,2025-05-06T13:58:40.639666108-04:00,read,705,true
client4-1746554320211117717,2025-05-06T13:58:40.645477264-04:00,write,14802,true
client4-1746554320211117717,2025-05-06T13:58:40.646054984-04:00,read,573,true
client1-1746554320211106125,2025-05-06T13:58:40.649857954-04:00,read,642,true
client0-1746554320211099953,2025-05-06T13:58:40.653087393-04:00,write,3881,true
client0-1746554320211099953,2025-05-06T13:58:40.659936877-04:00,read,663,true
client4-1746554320211117717,2025-05-06T13:58:40.661541011-04:00,read,11795,true
client4-1746554320211117717,2025-05-06T13:58:40.662132366-04:00,read,583,true
client1-1746554320211106125,2025-05-06T13:58:40.663563955-04:00,write,4306,true
client0-1746554320211099953,2025-05-06T13:58:40.670397499-04:00,read,655,true
client4-1746554320211117717,2025-05-06T13:58:40.670557471-04:00,read,811,true
client1-1746554320211106125,2025-05-06T13:58:40.67350609-04:00,write,3778,true
client1-1746554320211106125,2025-05-06T13:58:40.683765464-04:00,write,4102,true
client0-1746554320211099953,2025-05-06T13:58:40.685676316-04:00,write,5998,true
client1-1746554320211106125,2025-05-06T13:58:40.69049975-04:00,read,659,true
client0-1746554320211099953,2025-05-06T13:58:40.690519478-04:00,read,692,true
client4-1746554320211117717,2025-05-06T13:58:40.694355009-04:00,write,14481,true
client4-1746554320211117717,2025-05-06T13:58:40.694946354-04:00,read,587,true
client1-1746554320211106125,2025-05-06T13:58:40.703002563-04:00,write,3911,true
client0-1746554320211099953,2025-05-06T13:58:40.704633709-04:00,write,5555,true
client0-1746554320211099953,2025-05-06T13:58:40.710427392-04:00,read,659,true
client1-1746554320211106125,2025-05-06T13:58:40.710438203-04:00,read,655,true
client4-1746554320211117717,2025-05-06T13:58:40.711945314-04:00,read,11440,true
client4-1746554320211117717,2025-05-06T13:58:40.715717096-04:00,write,3764,true
client4-1746554320211117717,2025-05-06T13:58:40.720568533-04:00,read,715,true
client0-1746554320211099953,2025-05-06T13:58:40.72070486-04:00,read,843,true
client1-1746554320211106125,2025-05-06T13:58:40.724043234-04:00,write,4179,true
client1-1746554320211106125,2025-05-06T13:58:40.72986474-04:00,read,666,true
client0-1746554320211099953,2025-05-06T13:58:40.729868387-04:00,read,678,true
client4-1746554320211117717,2025-05-06T13:58:40.730475962-04:00,read,620,true
client1-1746554320211106125,2025-05-06T13:58:40.739853833-04:00,read,765,true
client0-1746554320211099953,2025-05-06T13:58:40.743480411-04:00,write,4586,true
client1-1746554320211106125,2025-05-06T13:58:40.750278408-04:00,read,650,true
client0-1746554320211099953,2025-05-06T13:58:40.753988383-04:00,write,4344,true
client1-1746554320211106125,2025-05-06T13:58:40.764331544-04:00,write,5144,true
client0-1746554320211099953,2025-05-06T13:58:40.765955396-04:00,write,6752,true
client0-1746554320211099953,2025-05-06T13:58:40.769873803-04:00,read,742,true
client4-1746554320211117717,2025-05-06T13:58:40.7714419-04:00,read,31593,true
client1-1746554320211106125,2025-05-06T13:58:40.77399834-04:00,write,4899,true
client4-1746554320211117717,2025-05-06T13:58:40.775729033-04:00,write,4281,true
client4-1746554320211117717,2025-05-06T13:58:40.780577454-04:00,read,717,true
client0-1746554320211099953,2025-05-06T13:58:40.780590118-04:00,read,714,true
client1-1746554320211106125,2025-05-06T13:58:40.784313278-04:00,write,4444,true
client4-1746554320211117717,2025-05-06T13:58:40.790449788-04:00,read,714,true
client0-1746554320211099953,2025-05-06T13:58:40.790579152-04:00,read,832,true
client1-1746554320211106125,2025-05-06T13:58:40.794864421-04:00,write,5137,true
client0-1746554320211099953,2025-05-06T13:58:40.800056671-04:00,read,778,true
client1-1746554320211106125,2025-05-06T13:58:40.803984957-04:00,write,4721,true
client4-1746554320211117717,2025-05-06T13:58:40.806010787-04:00,write,6101,true
client0-1746554320211099953,2025-05-06T13:58:40.810082003-04:00,read,674,true
client4-1746554320211117717,2025-05-06T13:58:40.810534125-04:00,read,770,true
client1-1746554320211106125,2025-05-06T13:58:40.813909138-04:00,write,4485,true
client0-1746554320211099953,2025-05-06T13:58:40.819979323-04:00,read,647,true
client1-1746554320211106125,2025-05-06T13:58:40.81999873-04:00,read,658,true
client4-1746554320211117717,2025-05-06T13:58:40.823928098-04:00,write,4101,true
client1-1746554320211106125,2025-05-06T13:58:40.829758912-04:00,read,694,true
client0-1746554320211099953,2025-05-06T13:58:40.829759313-04:00,read,669,true
client4-1746554320211117717,2025-05-06T13:58:40.830358071-04:00,read,608,true
