ClientID,Timestamp,Operation,Latency_us,Success
client0-1746540548420442672,2025-05-06T10:09:08.434790613-04:00,read,1640,true
client1-1746540548420448703,2025-05-06T10:09:08.435182271-04:00,read,1860,true
client1-1746540548420448703,2025-05-06T10:09:08.443950709-04:00,read,624,true
client3-1746540548420451248,2025-05-06T10:09:08.798338576-04:00,write,365463,true
client1-1746540548420448703,2025-05-06T10:09:08.800947727-04:00,write,346790,true
client2-1746540548420450166,2025-05-06T10:09:08.801083022-04:00,write,367952,true
client4-1746540548420452260,2025-05-06T10:09:08.801130712-04:00,write,366788,true
client2-1746540548420450166,2025-05-06T10:09:08.80178684-04:00,read,686,true
client1-1746540548420448703,2025-05-06T10:09:08.806535005-04:00,write,5576,true
client3-1746540548420451248,2025-05-06T10:09:08.806544954-04:00,write,8191,true
client3-1746540548420451248,2025-05-06T10:09:08.807125819-04:00,read,574,true
client2-1746540548420450166,2025-05-06T10:09:08.809882018-04:00,write,5966,true
client4-1746540548420452260,2025-05-06T10:09:08.809961978-04:00,write,8813,true
client1-1746540548420448703,2025-05-06T10:09:08.811911265-04:00,write,5369,true
client4-1746540548420452260,2025-05-06T10:09:08.813540538-04:00,write,3573,true
client3-1746540548420451248,2025-05-06T10:09:08.813567108-04:00,read,590,true
client2-1746540548420450166,2025-05-06T10:09:08.813707312-04:00,read,584,true
client1-1746540548420448703,2025-05-06T10:09:08.817997373-04:00,write,4587,true
client4-1746540548420452260,2025-05-06T10:09:08.81952242-04:00,write,4751,true
client2-1746540548420450166,2025-05-06T10:09:08.824193049-04:00,read,995,true
client1-1746540548420448703,2025-05-06T10:09:08.824327853-04:00,read,918,true
client0-1746540548420442672,2025-05-06T10:09:08.826149639-04:00,write,382836,true
client3-1746540548420451248,2025-05-06T10:09:08.828385446-04:00,write,5493,true
client0-1746540548420442672,2025-05-06T10:09:08.830064062-04:00,write,3907,true
client3-1746540548420451248,2025-05-06T10:09:08.837389999-04:00,write,4190,true
client2-1746540548420450166,2025-05-06T10:09:08.839030954-04:00,write,5824,true
client1-1746540548420448703,2025-05-06T10:09:08.839033559-04:00,write,5626,true
client0-1746540548420442672,2025-05-06T10:09:08.839047385-04:00,write,5854,true
client3-1746540548420451248,2025-05-06T10:09:08.844798442-04:00,read,1635,true
client2-1746540548420450166,2025-05-06T10:09:08.844922115-04:00,read,1740,true
client1-1746540548420448703,2025-05-06T10:09:08.844923618-04:00,read,1562,true
client0-1746540548420442672,2025-05-06T10:09:08.847175365-04:00,write,4003,true
client2-1746540548420450166,2025-05-06T10:09:08.85403884-04:00,read,719,true
client0-1746540548420442672,2025-05-06T10:09:08.857515196-04:00,write,4212,true
client1-1746540548420448703,2025-05-06T10:09:08.858638856-04:00,write,5321,true
client3-1746540548420451248,2025-05-06T10:09:08.858640168-04:00,write,5330,true
client0-1746540548420442672,2025-05-06T10:09:08.863782337-04:00,read,710,true
client2-1746540548420450166,2025-05-06T10:09:08.863922711-04:00,read,828,true
client1-1746540548420448703,2025-05-06T10:09:08.864050653-04:00,read,604,true
client3-1746540548420451248,2025-05-06T10:09:08.866601634-04:00,write,3836,true
client4-1746540548420452260,2025-05-06T10:09:08.87120178-04:00,write,47000,true
client2-1746540548420450166,2025-05-06T10:09:08.874481987-04:00,read,866,true
